Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Tampa,Weekly,"2017-05-14 00:00:00",Organic,1.960000000,4946.02,2198.76,104.04,0.00,2643.22,2528.95,114.27,0.00
West,Weekly,"2017-05-14 00:00:00",Organic,1.100000000,446864.94,64155.43,54107.85,268.13,328333.53,160414.47,167919.06,0.00
"West Tex/New Mexico",Weekly,"2017-05-14 00:00:00",Organic,1.770000000,18131.79,5410.04,5406.61,0.00,7315.14,4198.56,3116.58,0.00
"Total U.S.",Weekly,"2017-05-21 00:00:00",Organic,1.710000000,1210560.61,166985.41,351498.50,4322.99,687753.71,436225.68,251528.03,0.00
Albany,Weekly,"2017-05-21 00:00:00",Organic,1.840000000,3184.37,20.33,385.05,0.00,2778.99,2778.99,0.00,0.00
Atlanta,Weekly,"2017-05-21 00:00:00",Organic,1.380000000,21857.76,1307.02,7474.67,0.00,13076.07,1010.73,12065.34,0.00
Baltimore/Washington,Weekly,"2017-05-21 00:00:00",Organic,2.200000000,23209.10,1034.75,10982.81,206.24,10985.30,10985.30,0.00,0.00
Boise,Weekly,"2017-05-21 00:00:00",Organic,1.270000000,3897.02,15.84,659.85,0.00,3221.33,557.73,2663.60,0.00
Boston,Weekly,"2017-05-21 00:00:00",Organic,1.920000000,22165.79,19.50,1408.91,0.00,20737.38,18624.83,2112.55,0.00
Buffalo/Rochester,Weekly,"2017-05-21 00:00:00",Organic,2.160000000,4934.21,7.22,843.74,0.00,4083.25,1050.00,3033.25,0.00
California,Weekly,"2017-05-21 00:00:00",Organic,1.780000000,183083.69,28908.03,67866.42,7.80,86301.44,86037.36,264.08,0.00
Charlotte,Weekly,"2017-05-21 00:00:00",Organic,2.480000000,7285.09,256.65,4833.23,438.64,1756.57,1582.88,173.69,0.00
Chicago,Weekly,"2017-05-21 00:00:00",Organic,1.940000000,44591.86,34.84,40715.22,0.00,3841.80,3841.80,0.00,0.00
Cincinnati/Dayton,Weekly,"2017-05-21 00:00:00",Organic,1.660000000,14138.36,257.41,5819.70,0.00,8061.25,1103.03,6958.22,0.00
Columbus,Weekly,"2017-05-21 00:00:00",Organic,1.440000000,9530.25,641.47,3255.48,0.00,5633.30,1630.95,4002.35,0.00
"Dallas/Ft. Worth",Weekly,"2017-05-21 00:00:00",Organic,1.460000000,28683.15,5639.42,4903.99,0.00,18139.74,18036.96,102.78,0.00
Denver,Weekly,"2017-05-21 00:00:00",Organic,1.380000000,35664.49,25044.47,4244.27,82.46,6293.29,5217.41,1075.88,0.00
Detroit,Weekly,"2017-05-21 00:00:00",Organic,1.500000000,13731.02,551.01,4582.26,0.00,8597.75,1342.90,7254.85,0.00
