Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Spokane,Weekly,"2018-11-25 00:00:00",Organic,2.660000000,4777.32,270.41,2633.21,0.00,1873.70,9.37,1864.33,0.00
"St. Louis",Weekly,"2018-11-25 00:00:00",Organic,1.730000000,12602.59,6161.30,575.54,0.00,5865.75,5395.68,470.07,0.00
Syracuse,Weekly,"2018-11-25 00:00:00",Organic,1.360000000,2935.20,96.83,110.36,0.00,2728.01,2196.37,531.64,0.00
Tampa,Weekly,"2018-11-25 00:00:00",Organic,1.240000000,710.36,52.13,25.74,0.00,632.49,567.77,64.72,0.00
West,Weekly,"2018-11-25 00:00:00",Organic,1.730000000,268362.34,63689.62,50897.28,89.43,153686.01,98567.01,55091.05,27.95
"West Tex/New Mexico",Weekly,"2018-11-25 00:00:00",Organic,1.600000000,21957.16,4906.97,1655.35,0.00,15394.84,14799.03,595.81,0.00
"Total U.S.",Weekly,"2018-12-02 00:00:00",Organic,1.580000000,1242754.19,118442.29,230167.57,748.83,893381.79,698557.18,194824.61,0.00
Albany,Weekly,"2018-12-02 00:00:00",Organic,1.400000000,5448.50,23.80,444.75,0.00,4979.95,4979.95,0.00,0.00
Atlanta,Weekly,"2018-12-02 00:00:00",Organic,1.730000000,12014.36,194.84,4103.36,0.00,7716.16,3626.46,4089.70,0.00
Baltimore/Washington,Weekly,"2018-12-02 00:00:00",Organic,1.370000000,45551.98,758.27,4692.16,19.09,40082.46,39866.13,216.33,0.00
Boise,Weekly,"2018-12-02 00:00:00",Organic,1.840000000,3462.45,0.00,989.31,0.00,2473.14,1052.40,1420.74,0.00
Boston,Weekly,"2018-12-02 00:00:00",Organic,1.530000000,23880.08,163.27,1654.34,0.00,22062.47,13153.17,8909.30,0.00
Buffalo/Rochester,Weekly,"2018-12-02 00:00:00",Organic,1.310000000,8972.11,392.95,147.31,0.00,8431.85,3577.05,4854.80,0.00
California,Weekly,"2018-12-02 00:00:00",Organic,2.190000000,137142.69,27341.97,72172.43,16.06,37612.23,37601.52,10.71,0.00
Charlotte,Weekly,"2018-12-02 00:00:00",Organic,1.840000000,11857.34,43.84,4874.54,73.89,6865.07,6616.11,248.96,0.00
Chicago,Weekly,"2018-12-02 00:00:00",Organic,1.550000000,39609.70,356.24,8279.03,0.00,30974.43,27295.75,3678.68,0.00
Cincinnati/Dayton,Weekly,"2018-12-02 00:00:00",Organic,1.590000000,7465.61,111.97,3656.17,0.00,3697.47,3327.39,370.08,0.00
Columbus,Weekly,"2018-12-02 00:00:00",Organic,1.460000000,8502.13,456.60,1463.04,0.00,6580.42,5140.75,1439.67,0.00
"Dallas/Ft. Worth",Weekly,"2018-12-02 00:00:00",Organic,1.370000000,30336.06,4096.60,89.18,0.00,26150.28,12281.10,13869.18,0.00
Denver,Weekly,"2018-12-02 00:00:00",Organic,1.460000000,44043.04,19539.60,1247.85,95.90,23159.69,20732.05,2427.64,0.00
Detroit,Weekly,"2018-12-02 00:00:00",Organic,1.370000000,17609.59,538.56,3335.84,0.00,13735.19,11137.28,2597.91,0.00
"Grand Rapids",Weekly,"2018-12-02 00:00:00",Organic,1.270000000,9716.38,26.89,1351.38,0.00,8338.11,8143.99,194.12,0.00
"Great Lakes",Weekly,"2018-12-02 00:00:00",Organic,1.360000000,190060.12,4104.34,26960.91,52.50,158928.66,137118.98,21809.68,0.00
Harrisburg/Scranton,Weekly,"2018-12-02 00:00:00",Organic,1.260000000,22015.96,206.72,182.76,0.00,21626.48,21626.48,0.00,0.00
Hartford/Springfield,Weekly,"2018-12-02 00:00:00",Organic,1.880000000,10458.91,83.43,4367.00,1.42,6007.06,6007.06,0.00,0.00
Houston,Weekly,"2018-12-02 00:00:00",Organic,1.570000000,26569.67,3764.49,55.68,0.00,22749.50,21939.50,810.00,0.00
Indianapolis,Weekly,"2018-12-02 00:00:00",Organic,1.370000000,8862.91,330.33,1132.68,0.00,7399.90,4126.63,3273.27,0.00
Jacksonville,Weekly,"2018-12-02 00:00:00",Organic,1.500000000,2425.03,54.53,151.61,2.66,2216.23,2195.55,20.68,0.00
"Las Vegas",Weekly,"2018-12-02 00:00:00",Organic,1.720000000,7377.26,694.37,1745.81,0.00,4937.08,4934.15,2.93,0.00
"Los Angeles",Weekly,"2018-12-02 00:00:00",Organic,2.010000000,60341.10,7663.87,26754.23,0.00,25923.00,25912.17,10.83,0.00
Louisville,Weekly,"2018-12-02 00:00:00",Organic,1.560000000,4490.87,0.00,1153.79,0.00,3337.08,1543.76,1793.32,0.00
"Miami/Ft. Lauderdale",Weekly,"2018-12-02 00:00:00",Organic,1.370000000,7339.31,755.32,2.88,0.00,6581.11,6581.11,0.00,0.00
Midsouth,Weekly,"2018-12-02 00:00:00",Organic,1.510000000,172848.30,2268.33,33200.10,327.32,137052.55,122582.78,14469.77,0.00
Nashville,Weekly,"2018-12-02 00:00:00",Organic,1.640000000,6756.09,198.39,1778.14,0.00,4779.56,1232.74,3546.82,0.00
"New Orleans/Mobile",Weekly,"2018-12-02 00:00:00",Organic,1.400000000,1984.24,109.80,0.00,0.00,1874.44,1491.11,383.33,0.00
"New York",Weekly,"2018-12-02 00:00:00",Organic,1.830000000,53297.17,12721.10,10399.80,1.99,30174.28,29929.68,244.60,0.00
Northeast,Weekly,"2018-12-02 00:00:00",Organic,1.520000000,231216.75,18508.73,24706.62,3.33,187998.07,163976.44,24021.63,0.00
"Northern New England",Weekly,"2018-12-02 00:00:00",Organic,1.450000000,32074.92,0.00,3651.37,0.00,28423.55,22295.55,6128.00,0.00
Orlando,Weekly,"2018-12-02 00:00:00",Organic,1.310000000,7163.92,146.72,2.76,0.00,7014.44,7014.44,0.00,0.00
Philadelphia,Weekly,"2018-12-02 00:00:00",Organic,1.420000000,30983.05,2207.00,2163.60,0.00,26612.45,26608.17,4.28,0.00
Phoenix/Tucson,Weekly,"2018-12-02 00:00:00",Organic,1.400000000,19535.82,1250.90,5399.38,0.00,12885.54,12871.68,13.86,0.00
Pittsburgh,Weekly,"2018-12-02 00:00:00",Organic,1.290000000,14632.35,1009.32,5.32,0.00,13617.71,13617.71,0.00,0.00
Plains,Weekly,"2018-12-02 00:00:00",Organic,1.370000000,48711.81,7143.10,3473.57,93.51,38001.63,32014.95,5986.68,0.00
Portland,Weekly,"2018-12-02 00:00:00",Organic,1.700000000,35310.34,731.79,8278.84,0.00,26299.71,7329.95,18969.76,0.00
Raleigh/Greensboro,Weekly,"2018-12-02 00:00:00",Organic,1.940000000,15847.60,33.94,4979.89,89.23,10744.54,10482.73,261.81,0.00
Richmond/Norfolk,Weekly,"2018-12-02 00:00:00",Organic,1.230000000,19879.93,61.79,2605.71,23.12,17189.31,15997.83,1191.48,0.00
Roanoke,Weekly,"2018-12-02 00:00:00",Organic,1.360000000,8383.27,200.22,1145.97,0.00,7037.08,5753.96,1283.12,0.00
Sacramento,Weekly,"2018-12-02 00:00:00",Organic,2.160000000,11384.78,2285.72,8443.50,0.00,655.56,655.56,0.00,0.00
"San Diego",Weekly,"2018-12-02 00:00:00",Organic,2.110000000,13902.03,1246.86,8836.24,0.00,3818.93,3818.93,0.00,0.00
"San Francisco",Weekly,"2018-12-02 00:00:00",Organic,2.710000000,21379.60,10480.79,9468.33,1.50,1428.98,1428.98,0.00,0.00
Seattle,Weekly,"2018-12-02 00:00:00",Organic,1.600000000,69326.51,671.35,15368.58,13.50,53273.08,1290.03,51983.05,0.00
"South Carolina",Weekly,"2018-12-02 00:00:00",Organic,1.510000000,10683.81,55.08,3877.74,49.41,6701.58,5691.20,1010.38,0.00
"South Central",Weekly,"2018-12-02 00:00:00",Organic,1.470000000,120441.44,15627.92,3320.70,0.00,101492.82,68137.97,33354.85,0.00
Southeast,Weekly,"2018-12-02 00:00:00",Organic,1.500000000,73364.03,2138.08,13021.19,57.05,58147.71,50072.22,8075.49,0.00
Spokane,Weekly,"2018-12-02 00:00:00",Organic,2.160000000,4315.53,161.91,2002.76,57.67,2093.19,289.30,1803.89,0.00
"St. Louis",Weekly,"2018-12-02 00:00:00",Organic,1.700000000,10498.86,3932.18,1576.70,62.30,4927.68,3151.07,1776.61,0.00
Syracuse,Weekly,"2018-12-02 00:00:00",Organic,1.250000000,4679.51,55.30,146.05,0.00,4478.16,3028.69,1449.47,0.00
Tampa,Weekly,"2018-12-02 00:00:00",Organic,1.290000000,7374.15,176.32,5.44,0.00,7192.39,7192.39,0.00,0.00
West,Weekly,"2018-12-02 00:00:00",Organic,1.620000000,268969.03,41309.81,53312.06,199.07,174148.09,87052.31,87095.78,0.00
"West Tex/New Mexico",Weekly,"2018-12-02 00:00:00",Organic,1.690000000,16553.71,2495.29,3328.96,0.00,10729.46,9803.18,926.28,0.00
"Total U.S.",Weekly,"2019-01-07 00:00:00",Conventional,1.020000000,44749707.48,14377053.08,11890232.90,893721.10,17588700.40,12829493.40,4617813.55,141393.45
Albany,Weekly,"2019-01-07 00:00:00",Conventional,1.070000000,129222.29,3789.30,112635.18,158.00,12639.81,8877.95,3761.86,0.00
Atlanta,Weekly,"2019-01-07 00:00:00",Conventional,0.920000000,828971.15,388574.98,38902.85,3482.04,398011.28,299475.26,98477.41,58.61
Baltimore/Washington,Weekly,"2019-01-07 00:00:00",Conventional,1.310000000,925391.38,102652.85,530128.43,8212.94,284397.16,263150.78,21233.05,13.33
Boise,Weekly,"2019-01-07 00:00:00",Conventional,1.230000000,108261.98,43723.19,7085.86,14435.46,43017.47,23932.54,19049.95,34.98
Boston,Weekly,"2019-01-07 00:00:00",Conventional,1.340000000,767731.38,11483.09,597937.87,2510.57,155799.85,109108.51,46691.34,0.00
Buffalo/Rochester,Weekly,"2019-01-07 00:00:00",Conventional,1.190000000,197137.26,9963.81,92129.51,281.96,94761.98,53069.02,41679.63,13.33
California,Weekly,"2019-01-07 00:00:00",Conventional,1.060000000,7195166.45,1989731.98,2089603.56,118964.72,2996866.19,2851060.95,77908.55,67896.69
Charlotte,Weekly,"2019-01-07 00:00:00",Conventional,1.100000000,323640.60,122312.03,63971.60,9550.23,127806.74,108828.50,18929.10,49.14
Chicago,Weekly,"2019-01-07 00:00:00",Conventional,1.310000000,739020.76,186828.35,371930.88,46176.93,134084.60,111203.24,21301.95,1579.41
Cincinnati/Dayton,Weekly,"2019-01-07 00:00:00",Conventional,0.810000000,381974.08,76483.81,38131.33,9393.38,257965.56,235641.79,21912.15,411.62
Columbus,Weekly,"2019-01-07 00:00:00",Conventional,0.870000000,265974.39,74786.63,38044.60,3039.06,150104.10,126888.94,23155.18,59.98
"Dallas/Ft. Worth",Weekly,"2019-01-07 00:00:00",Conventional,0.680000000,1739039.62,789897.17,232813.75,17050.28,699278.42,543479.17,155453.79,345.46
Denver,Weekly,"2019-01-07 00:00:00",Conventional,1.040000000,990107.19,157260.45,215321.46,17338.74,600186.54,183278.12,416576.16,332.26
Detroit,Weekly,"2019-01-07 00:00:00",Conventional,0.930000000,561515.47,143677.15,65215.69,82673.50,269949.13,232424.57,25041.65,12482.91
"Grand Rapids",Weekly,"2019-01-07 00:00:00",Conventional,1.210000000,222842.69,5006.78,84184.42,80516.26,53135.23,33167.05,615.83,19352.35
"Great Lakes",Weekly,"2019-01-07 00:00:00",Conventional,1.000000000,4526121.95,953487.99,1176050.61,364915.05,2031668.30,1564128.36,398894.00,68645.94
Harrisburg/Scranton,Weekly,"2019-01-07 00:00:00",Conventional,1.020000000,379285.32,66988.09,224761.57,513.62,87022.04,82104.22,4911.15,6.67
Hartford/Springfield,Weekly,"2019-01-07 00:00:00",Conventional,1.400000000,378882.16,7744.34,294948.08,576.57,75613.17,68977.82,6625.35,10.00
Houston,Weekly,"2019-01-07 00:00:00",Conventional,0.620000000,1862343.88,900434.41,172976.36,2245.67,786687.44,612662.75,174018.02,6.67
Indianapolis,Weekly,"2019-01-07 00:00:00",Conventional,0.860000000,282887.95,60648.16,63097.30,5951.31,153191.18,138052.87,11118.96,4019.35
Jacksonville,Weekly,"2019-01-07 00:00:00",Conventional,1.130000000,233283.11,131385.41,10798.29,1273.74,89825.67,37166.91,52655.43,3.33
"Las Vegas",Weekly,"2019-01-07 00:00:00",Conventional,1.030000000,379303.12,72070.33,100219.03,9533.70,197480.06,85198.75,112281.31,0.00
"Los Angeles",Weekly,"2019-01-07 00:00:00",Conventional,0.870000000,3599552.29,1132790.21,381246.51,76621.56,2008894.01,1907302.08,46313.61,55278.32
Louisville,Weekly,"2019-01-07 00:00:00",Conventional,0.980000000,146399.81,34876.12,20517.55,204.85,90801.29,66986.65,23807.98,6.66
"Miami/Ft. Lauderdale",Weekly,"2019-01-07 00:00:00",Conventional,1.140000000,885275.40,546503.42,52959.04,5542.80,280270.14,113257.66,166999.15,13.33
Midsouth,Weekly,"2019-01-07 00:00:00",Conventional,1.070000000,4204207.55,1267197.98,1135305.43,36475.32,1765228.82,1455150.48,309888.62,189.72
Nashville,Weekly,"2019-01-07 00:00:00",Conventional,0.940000000,321950.79,143132.03,9906.16,560.36,168352.24,129491.41,38843.76,17.07
"New Orleans/Mobile",Weekly,"2019-01-07 00:00:00",Conventional,1.140000000,306540.51,173681.21,23590.64,3016.40,106252.26,69440.42,36805.17,6.67
"New York",Weekly,"2019-01-07 00:00:00",Conventional,1.390000000,1774309.27,49294.65,1171826.84,8756.63,544431.15,511018.11,33402.96,10.08
Northeast,Weekly,"2019-01-07 00:00:00",Conventional,1.270000000,5512620.18,278662.91,3752327.47,17311.50,1464318.30,1186425.55,277834.02,58.73
"Northern New England",Weekly,"2019-01-07 00:00:00",Conventional,1.210000000,590612.51,11353.82,518139.53,542.47,60576.69,26571.60,34001.76,3.33
Orlando,Weekly,"2019-01-07 00:00:00",Conventional,1.100000000,520108.57,303030.31,23404.86,4996.14,188677.26,92855.61,95821.65,0.00
Philadelphia,Weekly,"2019-01-07 00:00:00",Conventional,1.180000000,584097.72,36585.57,364439.05,1905.13,181167.97,159963.44,21194.53,10.00
Phoenix/Tucson,Weekly,"2019-01-07 00:00:00",Conventional,0.770000000,1359861.55,579079.94,272371.19,18522.70,489887.72,254646.16,235241.56,0.00
Pittsburgh,Weekly,"2019-01-07 00:00:00",Conventional,1.250000000,127208.20,35208.51,19898.68,1507.23,70593.78,36812.49,33774.62,6.67
Plains,Weekly,"2019-01-07 00:00:00",Conventional,1.080000000,2327217.09,1040614.21,563581.06,20559.77,702462.05,627325.78,75011.20,125.07
Portland,Weekly,"2019-01-07 00:00:00",Conventional,1.110000000,743458.81,76237.59,297382.33,41195.83,328643.06,123980.24,203631.73,1031.09
Raleigh/Greensboro,Weekly,"2019-01-07 00:00:00",Conventional,1.060000000,415160.55,160444.03,77742.33,7482.86,169491.33,142423.37,27053.90,14.06
Richmond/Norfolk,Weekly,"2019-01-07 00:00:00",Conventional,0.910000000,369097.05,117766.75,78918.52,2193.51,170218.27,139089.22,31104.27,24.78
Roanoke,Weekly,"2019-01-07 00:00:00",Conventional,0.910000000,226546.46,65528.69,38446.10,131.85,122439.82,94704.98,27728.17,6.67
Sacramento,Weekly,"2019-01-07 00:00:00",Conventional,1.290000000,550935.42,136757.13,326182.85,1798.33,86197.11,78598.63,6317.10,1281.38
"San Diego",Weekly,"2019-01-07 00:00:00",Conventional,0.920000000,655861.67,131976.74,151634.59,17119.08,355131.26,344843.06,10278.20,10.00
"San Francisco",Weekly,"2019-01-07 00:00:00",Conventional,1.530000000,891390.00,173193.72,561769.37,6055.67,150371.24,143890.67,4252.27,2228.30
Seattle,Weekly,"2019-01-07 00:00:00",Conventional,1.370000000,591490.42,103869.74,175376.41,1291.18,310953.09,119357.12,190663.50,932.47
"South Carolina",Weekly,"2019-01-07 00:00:00",Conventional,1.030000000,527258.20,270121.81,56706.29,5214.65,195215.45,147279.31,47658.93,277.21
"South Central",Weekly,"2019-01-07 00:00:00",Conventional,0.740000000,8067743.48,3825511.01,1021815.00,105232.46,3115185.01,2432264.28,682061.04,859.69
Southeast,Weekly,"2019-01-07 00:00:00",Conventional,1.060000000,5410461.88,2970600.07,306560.18,30400.79,2102900.84,1232360.75,870004.88,535.21
Spokane,Weekly,"2019-01-07 00:00:00",Conventional,1.210000000,103261.73,26314.34,25884.53,91.66,50971.20,23801.76,27116.50,52.94
"St. Louis",Weekly,"2019-01-07 00:00:00",Conventional,1.130000000,221675.27,110425.52,10370.03,729.42,100150.30,68176.98,31969.99,3.33
Syracuse,Weekly,"2019-01-07 00:00:00",Conventional,1.110000000,94650.92,4195.53,56417.83,86.00,33951.56,16291.65,17659.91,0.00
Tampa,Weekly,"2019-01-07 00:00:00",Conventional,1.120000000,574313.20,331993.66,29145.62,2892.11,210281.81,87128.46,123153.35,0.00
West,Weekly,"2019-01-07 00:00:00",Conventional,1.030000000,7506168.91,2051246.94,1844989.59,199861.49,3410070.89,1480777.25,1926211.24,3082.40
"West Tex/New Mexico",Weekly,"2019-01-07 00:00:00",Conventional,0.890000000,877424.15,402471.90,130818.29,50853.12,293280.84,206759.49,86469.13,52.22
"Total U.S.",Weekly,"2019-01-07 00:00:00",Organic,1.470000000,1706136.92,144293.54,286237.67,4849.65,1270752.28,1039378.52,231335.78,37.98
Albany,Weekly,"2019-01-07 00:00:00",Organic,1.410000000,5006.34,31.85,624.66,0.00,4349.83,4349.83,0.00,0.00
Atlanta,Weekly,"2019-01-07 00:00:00",Organic,1.420000000,16714.19,265.17,4554.23,0.00,11894.79,4813.49,7081.30,0.00
Baltimore/Washington,Weekly,"2019-01-07 00:00:00",Organic,1.230000000,58619.13,966.60,5809.41,66.20,51776.92,51689.22,87.70,0.00
Boise,Weekly,"2019-01-07 00:00:00",Organic,1.730000000,3616.52,0.00,922.69,0.00,2693.83,1261.80,1432.03,0.00
Boston,Weekly,"2019-01-07 00:00:00",Organic,1.530000000,32246.02,30.54,2768.75,0.00,29446.73,15058.40,14388.33,0.00
Buffalo/Rochester,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,14598.43,493.05,199.05,0.00,13906.33,5608.98,8297.35,0.00
California,Weekly,"2019-01-07 00:00:00",Organic,1.720000000,227763.47,40136.83,66062.27,0.00,121564.37,121550.41,13.96,0.00
Charlotte,Weekly,"2019-01-07 00:00:00",Organic,1.910000000,13444.95,73.45,5468.29,183.41,7719.80,7453.13,266.67,0.00
Chicago,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,127832.85,870.15,20225.46,0.00,106737.24,106737.24,0.00,0.00
Cincinnati/Dayton,Weekly,"2019-01-07 00:00:00",Organic,1.380000000,10194.47,189.69,3964.10,0.00,6040.68,2216.06,3824.62,0.00
Columbus,Weekly,"2019-01-07 00:00:00",Organic,1.330000000,9851.41,573.58,1734.24,0.00,7543.59,5529.18,2014.41,0.00
"Dallas/Ft. Worth",Weekly,"2019-01-07 00:00:00",Organic,1.400000000,35901.02,6553.37,546.33,492.77,28308.55,16425.47,11883.08,0.00
Denver,Weekly,"2019-01-07 00:00:00",Organic,1.560000000,28821.80,6137.80,1477.23,66.43,21140.34,20408.24,732.10,0.00
Detroit,Weekly,"2019-01-07 00:00:00",Organic,1.260000000,16513.30,835.82,3985.06,0.00,11692.42,8889.41,2803.01,0.00
"Grand Rapids",Weekly,"2019-01-07 00:00:00",Organic,1.280000000,13832.87,14.29,2681.10,0.00,11137.48,11091.43,46.05,0.00
"Great Lakes",Weekly,"2019-01-07 00:00:00",Organic,1.210000000,298675.32,6440.64,43197.04,3.10,249030.76,225228.71,23802.05,0.00
Harrisburg/Scranton,Weekly,"2019-01-07 00:00:00",Organic,1.170000000,24102.28,273.94,402.16,0.00,23426.18,23426.18,0.00,0.00
Hartford/Springfield,Weekly,"2019-01-07 00:00:00",Organic,1.880000000,16827.14,95.17,8288.36,0.00,8443.61,8443.61,0.00,0.00
Houston,Weekly,"2019-01-07 00:00:00",Organic,1.610000000,25574.66,5231.01,66.02,0.00,20277.63,19807.63,470.00,0.00
Indianapolis,Weekly,"2019-01-07 00:00:00",Organic,1.320000000,9604.15,377.91,1273.07,0.00,7953.17,4052.61,3900.56,0.00
Jacksonville,Weekly,"2019-01-07 00:00:00",Organic,1.500000000,2720.60,169.47,142.52,5.31,2403.30,2403.30,0.00,0.00
"Las Vegas",Weekly,"2019-01-07 00:00:00",Organic,1.550000000,14802.19,2127.84,1923.02,0.00,10751.33,10736.63,14.70,0.00
"Los Angeles",Weekly,"2019-01-07 00:00:00",Organic,1.560000000,129838.17,16562.57,27556.09,0.00,85719.51,85708.85,10.66,0.00
Louisville,Weekly,"2019-01-07 00:00:00",Organic,1.190000000,5541.45,10.87,1259.22,0.00,4271.36,3153.93,1117.43,0.00
"Miami/Ft. Lauderdale",Weekly,"2019-01-07 00:00:00",Organic,1.420000000,9260.23,1049.49,11.16,0.00,8199.58,8199.58,0.00,0.00
Midsouth,Weekly,"2019-01-07 00:00:00",Organic,1.440000000,207661.74,4466.44,40900.63,575.89,161718.78,150810.65,10908.13,0.00
Nashville,Weekly,"2019-01-07 00:00:00",Organic,1.400000000,5994.73,159.17,2289.86,0.00,3545.70,765.49,2780.21,0.00
"New Orleans/Mobile",Weekly,"2019-01-07 00:00:00",Organic,1.500000000,3778.11,586.25,50.06,0.00,3141.80,3028.47,113.33,0.00
"New York",Weekly,"2019-01-07 00:00:00",Organic,1.670000000,94808.68,13549.28,15041.39,12.09,66205.92,66195.84,10.08,0.00
Northeast,Weekly,"2019-01-07 00:00:00",Organic,1.470000000,315069.87,20574.05,37944.62,10.47,256540.73,216494.92,40045.81,0.00
"Northern New England",Weekly,"2019-01-07 00:00:00",Organic,1.460000000,38307.48,0.00,5571.07,0.00,32736.41,24996.78,7739.63,0.00
Orlando,Weekly,"2019-01-07 00:00:00",Organic,1.420000000,7906.98,247.95,10.14,0.00,7648.89,7648.89,0.00,0.00
Philadelphia,Weekly,"2019-01-07 00:00:00",Organic,1.290000000,35769.15,2637.66,2997.39,0.00,30134.10,30131.24,2.86,0.00
Phoenix/Tucson,Weekly,"2019-01-07 00:00:00",Organic,1.460000000,22618.68,3256.17,4271.57,0.00,15090.94,15057.37,33.57,0.00
Pittsburgh,Weekly,"2019-01-07 00:00:00",Organic,1.280000000,16263.09,1008.13,0.00,0.00,15254.96,15254.96,0.00,0.00
Plains,Weekly,"2019-01-07 00:00:00",Organic,1.250000000,96506.35,17291.37,12414.31,2.15,66798.52,57331.97,9466.55,0.00
Portland,Weekly,"2019-01-07 00:00:00",Organic,1.820000000,34149.37,1281.91,10287.18,0.00,22580.28,2038.51,20539.85,1.92
Raleigh/Greensboro,Weekly,"2019-01-07 00:00:00",Organic,2.100000000,18203.61,64.65,6024.39,123.09,11991.48,11885.86,105.62,0.00
Richmond/Norfolk,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,23507.08,48.35,3541.10,35.22,19882.41,19230.28,652.13,0.00
Roanoke,Weekly,"2019-01-07 00:00:00",Organic,1.290000000,9215.21,707.10,1497.31,0.00,7010.80,6430.16,580.64,0.00
Sacramento,Weekly,"2019-01-07 00:00:00",Organic,1.720000000,10887.05,2499.40,2826.87,0.00,5560.78,5557.45,3.33,0.00
"San Diego",Weekly,"2019-01-07 00:00:00",Organic,1.820000000,21157.28,4102.54,11843.67,0.00,5211.07,5211.07,0.00,0.00
"San Francisco",Weekly,"2019-01-07 00:00:00",Organic,2.500000000,24680.35,11489.10,8886.02,0.00,4305.23,4305.23,0.00,0.00
Seattle,Weekly,"2019-01-07 00:00:00",Organic,1.590000000,95024.99,1301.73,26557.16,1.33,67164.77,2688.51,64461.48,14.78
"South Carolina",Weekly,"2019-01-07 00:00:00",Organic,1.510000000,19190.29,176.85,4850.23,55.61,14107.60,12745.98,1361.62,0.00
"South Central",Weekly,"2019-01-07 00:00:00",Organic,1.460000000,146534.38,24543.47,4494.55,3388.06,114108.30,83414.44,30693.86,0.00
Southeast,Weekly,"2019-01-07 00:00:00",Organic,1.470000000,100363.52,3212.95,14966.71,81.07,82102.79,69410.29,12692.50,0.00
Spokane,Weekly,"2019-01-07 00:00:00",Organic,1.910000000,5702.50,230.58,1882.15,6.50,3583.27,842.22,2741.05,0.00
"St. Louis",Weekly,"2019-01-07 00:00:00",Organic,1.280000000,19562.45,10680.67,1952.58,1.42,6927.78,5177.59,1750.19,0.00
Syracuse,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,7747.16,84.23,267.59,0.00,7395.34,4104.17,3291.17,0.00
Tampa,Weekly,"2019-01-07 00:00:00",Organic,1.450000000,6512.32,206.23,1.00,0.00,6305.09,6305.09,0.00,0.00
West,Weekly,"2019-01-07 00:00:00",Organic,1.630000000,313562.33,27627.80,66257.54,788.91,218888.08,115137.16,103712.94,37.98
"West Tex/New Mexico",Weekly,"2019-01-07 00:00:00",Organic,1.570000000,23569.76,1985.39,1457.13,1945.50,18181.74,17148.40,1033.34,0.00
"Total U.S.",Weekly,"2019-01-13 00:00:00",Conventional,0.970000000,48088440.48,15500568.59,13443606.86,741410.17,18402854.86,12137097.88,6130317.90,135439.08
Albany,Weekly,"2019-01-13 00:00:00",Conventional,1.090000000,133875.68,3134.59,119057.57,193.24,11490.28,8247.70,3222.58,20.00
Atlanta,Weekly,"2019-01-13 00:00:00",Conventional,0.910000000,865343.52,394138.36,36214.71,4837.49,430152.96,311558.27,118556.92,37.77
Baltimore/Washington,Weekly,"2019-01-13 00:00:00",Conventional,1.340000000,958821.32,144348.09,503263.33,10973.83,300236.07,281585.43,18650.64,0.00
Boise,Weekly,"2019-01-13 00:00:00",Conventional,1.040000000,123073.71,59058.66,6925.85,9601.09,47488.11,21016.60,26388.55,82.96
Boston,Weekly,"2019-01-13 00:00:00",Conventional,1.390000000,700001.80,10156.25,523703.96,1980.56,164161.03,128952.99,35208.04,0.00
Buffalo/Rochester,Weekly,"2019-01-13 00:00:00",Conventional,1.190000000,180146.72,7464.26,79871.65,270.48,92540.33,52294.28,40246.05,0.00
California,Weekly,"2019-01-13 00:00:00",Conventional,0.950000000,7749229.19,2000059.34,3246072.67,111722.47,2391374.71,2231658.29,88869.84,70846.58
Charlotte,Weekly,"2019-01-13 00:00:00",Conventional,1.080000000,331205.39,130738.13,63781.24,8859.89,127826.13,106527.75,21258.38,40.00
Chicago,Weekly,"2019-01-13 00:00:00",Conventional,0.960000000,766127.03,180622.80,407815.91,38334.08,139354.24,114419.90,21433.69,3500.65
Cincinnati/Dayton,Weekly,"2019-01-13 00:00:00",Conventional,0.860000000,330737.77,87919.35,27045.13,12076.78,203696.51,183737.47,19522.08,436.96
Columbus,Weekly,"2019-01-13 00:00:00",Conventional,0.850000000,297316.01,83137.07,25364.71,3272.26,185541.97,157463.71,28040.87,37.39
"Dallas/Ft. Worth",Weekly,"2019-01-13 00:00:00",Conventional,0.710000000,1753638.47,797464.80,290785.02,18759.96,646628.69,386580.31,255375.18,4673.20
Denver,Weekly,"2019-01-13 00:00:00",Conventional,1.080000000,1095255.49,170704.03,232546.68,15748.43,676256.35,180010.11,495967.36,278.88
Detroit,Weekly,"2019-01-13 00:00:00",Conventional,0.930000000,600113.36,165211.99,48209.54,46570.39,340121.44,302985.79,30303.64,6832.01
"Grand Rapids",Weekly,"2019-01-13 00:00:00",Conventional,1.530000000,162140.73,5558.98,67771.33,41690.72,47119.70,34288.88,2308.35,10522.47
"Great Lakes",Weekly,"2019-01-13 00:00:00",Conventional,0.970000000,4539448.43,1004154.80,1049901.70,234362.30,2251029.63,1781046.01,418020.26,51963.36
Harrisburg/Scranton,Weekly,"2019-01-13 00:00:00",Conventional,0.970000000,357210.37,61894.49,181202.04,799.69,113314.15,110663.56,2647.26,3.33
